ISO2_code,Year,Population
LS,1989,0.2266892790088815
JP,1989,0.6056119231890396
CN,1989,0.3283597248888488
AR,1989,-0.12174269612544159
GW,1989,-0.42977576156765274
LR,1989,-0.2512788948520053
ES,1989,-0.13114839158149993
KR,1989,0.4360855325369928
AD,1989,0.06621765547343714
AF,1990,-0.8072487609763402
MQ,1990,0.44941115594942727
CN,1990,0.39607612961921407
JP,1990,0.6352515729499333
ER,1990,-0.12318342986704453
US,1990,-0.166464443606713
LS,1990,0.28078199417200445
TW,1990,0.3000121833141614
LR,1990,-0.4408285821991303
GW,1990,-0.4033690925549491
AR,1990,-0.07269427054781928
AD,1990,0.13615963491939698
KR,1990,0.49173990999937345
ZM,1990,-0.3804086127787148
ES,1990,-0.12460244158123195
JP,1991,0.6628946055792008
GW,1991,-0.36835162819347145
LR,1991,-0.612958755795445
TW,1991,0.33612132790355215
LS,1991,0.3325113530718099
AR,1991,-0.024039258472067733
CN,1991,0.45548097645702185
MQ,1991,0.5896507839788248
AD,1991,0.20374605547209895
ES,1991,-0.10812278065410649
ZM,1991,-0.34953951464706307
KR,1991,0.5287442837430771
US,1991,-0.11114309076528882
ER,1991,-0.23256511370391567
AF,1991,-0.803245330323872
CN,1992,0.501775056076879
MQ,1992,0.7423193612566809
GW,1992,-0.31825621796090775
AR,1992,0.024035351755746028
TW,1992,0.3716737002820403
US,1992,-0.0536146965626069
LR,1992,-0.5408027440980527
LS,1992,0.38167391040586096
AF,1992,-0.6989478986947212
ER,1992,-0.34918392592685105
JP,1992,0.6893274462168253
ES,1992,-0.07657195054311915
KR,1992,0.5505312278778995
ZM,1992,-0.3187012752742682
AD,1992,0.27075264614338396
KR,1993,0.5736130173728188
AD,1993,0.33862898163679467
ER,1993,-0.28965713743025645
ES,1993,-0.043005716362375934
AR,1993,0.07173920743635319
TW,1993,0.4056389586261427
GW,1993,-0.25986733389853145
US,1993,0.003742854150825525
LR,1993,-0.4898022717681515
LS,1993,0.42739993750623645
AF,1993,-0.5442560090850916
ZM,1993,-0.28743212673784974
MQ,1993,0.8955538434750241
CN,1993,0.5440494107195172
JP,1993,0.71320634821642
US,1994,0.05934076148178567
LS,1994,0.4700624174274054
LR,1994,-0.4946213693656854
JP,1994,0.7374282282669101
AR,1994,0.11970301745465735
ER,1994,-0.22932534557148895
ES,1994,-0.011763801088966406
MQ,1994,1.0471115703141478
ZM,1994,-0.25509421531092236
AF,1994,-0.42886896884169357
CN,1994,0.5841786510598158
KR,1994,0.5970742454108341
TW,1994,0.43847364048713533
GW,1994,-0.20320474788224416
AD,1994,0.4067952320709141
AD,1995,0.47532387618091926
KR,1995,0.6200035342542417
LS,1995,0.5097969803709927
US,1995,0.11323804727282491
AR,1995,0.16724670135022307
JP,1995,0.7598679772516969
ER,1995,-0.11601247967149045
ZM,1995,-0.2217032885044494
ES,1995,0.017582032122633748
TW,1995,0.47026212308825865
GW,1995,-0.15559789717066605
CN,1995,0.622295074803367
AF,1995,-0.3523024336712603
MQ,1995,1.1970554201007737
LR,1995,-0.48366083364405305
AD,1996,0.5194996652713989
KR,1996,0.6468724568373738
CN,1996,0.657942401254835
LR,1996,-0.4444971544492008
LS,1996,0.5454321204704623
ER,1996,-0.010470118618382287
AR,1996,0.21331838471382247
ES,1996,0.04555197187149233
MQ,1996,1.3459303383331478
ZM,1996,-0.18704540286140822
JP,1996,0.7807072095357768
TW,1996,0.5009229657685667
US,1996,0.16613000442407122
AF,1996,-0.29764615920020837
GW,1996,-0.11527392023394725
CN,1997,0.6913015734869634
LR,1997,-0.33037751249012004
AR,1997,0.25766019201093926
AF,1997,-0.24342375993377488
US,1997,0.22041117884538752
ZM,1997,-0.15027941860430066
TW,1997,0.5307611794649733
MQ,1997,1.4945956621431187
JP,1997,0.8022244117383421
LS,1997,0.5750690149030626
ES,1997,0.07377977632050994
GW,1997,-0.07761096016547592
ER,1997,0.016680718706052828
KR,1997,0.6773146691248604
AD,1997,0.5388877269312892
GW,1998,-0.04031188509972667
ER,1998,0.04749012345808177
ES,1998,0.10181229861734964
ZM,1998,-0.11221911619864897
MQ,1998,1.6237267857851936
JP,1998,0.8222187486118063
US,1998,0.27514570276048333
LS,1998,0.5972106453183569
TW,1998,0.5598975547731629
AF,1998,-0.18744575169228858
AR,1998,0.30102652091570326
LR,1998,-0.16751963139263867
KR,1998,0.706310542670562
AD,1998,0.5571523681959338
CN,1998,0.723017977242183
KR,1999,0.7335254624385983
LR,1999,-0.07173648715875766
CN,1999,0.7531984343345242
ES,1999,0.12947086328104343
GW,1999,-0.0016762655926994981
ER,1999,0.08080047117087398
AR,1999,0.3446643415158139
LS,1999,0.6117976735031343
JP,1999,0.8398078182061001
TW,1999,0.5879988897582012
AF,1999,-0.12626966575663848
MQ,1999,1.6891621644592008
ZM,1999,-0.07264228076753079
US,1999,0.32840003397443335
AD,1999,0.5741486315949778
ES,2000,0.1601346203716285
LS,2000,0.6192352946847499
TW,2000,0.6149207055552326
GW,2000,0.04036021280232735
JP,2000,0.8575484113675784
CN,2000,0.7836200716256029
ER,2000,0.11675695876987748
AF,2000,-0.10400484977464092
MQ,2000,1.6707597741722766
US,2000,0.3795921811559844
AD,2000,0.5901664320691299
KR,2000,0.7605351006162892
ZM,2000,-0.029710748303992583
LR,2000,-0.004613387504002852
AR,2000,0.38808461536310584
JP,2001,0.876221106209161
LS,2001,0.620664497934374
CN,2001,0.8139528223830724
AF,2001,-0.0924287509373732
ER,2001,0.18495704116002054
ES,2001,0.19470094519627715
TW,2001,0.6420142123610411
GW,2001,0.08611487160431565
AR,2001,0.4306708733744645
US,2001,0.42847638174478253
MQ,2001,1.6031446135052854
LR,2001,0.05038274226877629
ZM,2001,0.018140688342226367
KR,2001,0.7883557924571083
AD,2001,0.6526068624242537
JP,2002,0.8930504901165028
LR,2002,0.1006234096955407
LS,2002,0.6173771609224863
TW,2002,0.6687351672971773
MQ,2002,1.522283085342467
AR,2002,0.47271830560149003
AF,2002,0.011817655250970671
US,2002,0.474302394762422
ES,2002,0.27330662441186365
AD,2002,0.7623759068500636
GW,2002,0.13491685173241696
ZM,2002,0.06845796251317608
ER,2002,0.2694053509216329
KR,2002,0.8141296112864488
CN,2002,0.8426918818255567
LR,2003,0.11626113640381912
AR,2003,0.5135809239559067
CN,2003,0.8705909038464767
ES,2003,0.38903282674329287
LS,2003,0.6097411805709941
TW,2003,0.6930234740291352
AD,2003,0.8731958929359417
GW,2003,0.186610941574096
ER,2003,0.3740715917511243
KR,2003,0.8361958713437561
MQ,2003,1.3898194103841954
AF,2003,0.14255039811984616
US,2003,0.5182157913664656
ZM,2003,0.12089860561185321
JP,2003,0.9073544574690487
ZM,2004,0.17658228157430353
MQ,2004,1.2011005924531382
AR,2004,0.5541832761521512
CN,2004,0.8984762242820614
AF,2004,0.21475068155169963
LS,2004,0.5967783240506771
AD,2004,0.9828562192589859
ES,2004,0.5011887485303095
ER,2004,0.4824754187431471
LR,2004,0.1399805400550108
JP,2004,0.9194004741023313
TW,2004,0.7144443255666144
KR,2004,0.855086914731568
US,2004,0.5633783218542282
GW,2004,0.24068666738145852
AD,2005,1.0876967096927481
ZM,2005,0.23652303466708316
KR,2005,0.8714336952682921
LS,2005,0.5832831189889816
AR,2005,0.5959365577291649
LR,2005,0.231533212767909
AF,2005,0.2829149479903827
US,2005,0.6094434457389935
CN,2005,0.9268091614333248
GW,2005,0.297087118229908
JP,2005,0.9284622964719906
TW,2005,0.732691536347783
ES,2005,0.6127775832486418
MQ,2005,0.9964316389772646
ER,2005,0.5502260820783347
AR,2006,0.638172641344803
LS,2006,0.5821912958658997
JP,2006,0.9358633492401089
US,2006,0.6557574988993117
AD,2006,1.1020112598902376
AF,2006,0.364917520620986
ZM,2006,0.30121460503190045
KR,2006,0.8875272481710005
ER,2006,0.5979938950820815
CN,2006,0.9555919866109791
MQ,2006,0.895428086821582
LR,2006,0.35185410998751576
TW,2006,0.748092630953807
ES,2006,0.7261730085228238
GW,2006,0.3563745050715174
GW,2007,0.41928866992603947
AF,2007,0.40150617927136706
LR,2007,0.4647067740888529
ZM,2007,0.3696933722504347
TW,2007,0.7612744675490031
ER,2007,0.643503747734997
ES,2007,0.8527144592444442
MQ,2007,0.9010661767842049
CN,2007,0.9851739901910538
JP,2007,0.9432975589299883
KR,2007,0.9047771468328626
AD,2007,1.0276118382308825
AR,2007,0.6796717892330256
LS,2007,0.5935248945891953
US,2007,0.7033425824263224
LR,2008,0.5608895477022736
ER,2008,0.7221382540736021
MQ,2008,0.8938142097690842
ES,2008,0.9635418473347587
GW,2008,0.48457929702582725
AF,2008,0.4431450054206759
AD,2008,0.9510380545162125
ZM,2008,0.4414150132669745
TW,2008,0.772240178466483
CN,2008,1.0155538206208081
AR,2008,0.7210044249865074
US,2008,0.7503103951869414
